Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
ALTICE EUROPE B,NL0011333760,ATCB,Euronext Amsterdam,EUR,5.23,5.32,5.19,5.31,26/11/19,CET,99218,521639.07,
ALTICE EUROPE N.V.,NL0011333752,ATC,Euronext Amsterdam,EUR,5.2,5.33,5.178,5.3,26/11/19,CET,58481414,309667083.7,
ALTRAN TECHN.,FR0000034639,ALT,Euronext Paris,EUR,14.08,14.125,14.03,14.035,26/11/19,CET,1149819,16161569.54,
ALTRI SGPS,PTALT0AE0002,ALTR,Euronext Lisbon,EUR,5.75,5.755,5.67,5.695,27/11/19,BST,464031,2646864.61,
ALTUR INVEST.,FR0010395681,ALTUR,Euronext Paris,EUR,5.66,5.66,5.66,5.66,26/11/19,CET,1,5.66,
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR,0.632,0.632,0.632,0.632,26/11/19,CET,200,126.4,
ALVEEN,FR0013253812,MLALV,Euronext Access Paris,EUR,0.174,0.174,0.174,0.174,22/11/19,CET,80,13.92,
AMATHEON AGRI,NL0010273694,MLAAH,Euronext Access Paris,EUR,0.099,0.099,0.099,0.099,26/11/19,CET,1,0.1,
AMG,NL0000888691,AMG,Euronext Amsterdam,EUR,22.67,22.9,22.52,22.65,26/11/19,CET,504721,11483632.66,
AMOEBA,FR0011051598,AMEBA,Euronext Paris,EUR,0.4465,0.45,0.4255,0.426,26/11/19,CET,63199,27148.56,
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,1.48,1.5,1.465,1.465,26/11/19,CET,12705,18900.06,
AMRYT PHARMA PLC,GB00BKLTQ412,AYP,Euronext Growth Dublin,EUR,-,-,-,-,-,UTC,-,-,
AMSTERDAM COMMOD.,NL0000313286,ACOMO,Euronext Amsterdam,EUR,20,20,19.92,20,26/11/19,CET,8104,161944.16,
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,68.55,69.85,68.45,69.4,26/11/19,CET,207325,14375827.35,
AND INTERNATIONAL,NL0000430106,AND,Euronext Amsterdam,EUR,2.3,2.3,2.18,2.29,26/11/19,CET,4325,9679.32,
ANEVIA,FR0011910652,ALANV,Euronext Growth Paris,EUR,2.43,2.43,2.2,2.22,26/11/19,CET,24571,54265.25,
ANEVIA BSA 2018,FR0013391182,ANVBS,Euronext Growth Paris,EUR,-,-,-,-,-,CET,-,-,
ANTALIS,FR0013258589,ANTA,Euronext Paris,EUR,0.818,0.82,0.81,0.82,26/11/19,CET,3266,2670.2,
ANTARES CERT,BE0003676872,ANT,Euronext Brussels,EUR,43.99,43.99,43.99,43.99,26/11/19,CET,2,87.98,
ANTEVENIO,ES0109429037,ALANT,Euronext Growth Paris,EUR,7.94,7.94,7.94,7.94,26/11/19,CET,121,960.74,
AP ALTERNAT ASSETS,GB00B15Y0C52,AAA,Euronext Amsterdam,USD,0.1,0.1,0.1,0.1,25/11/19,CET,6395,580.94,
APERAM,LU0569974404,APAM,Euronext Amsterdam,,,,,,,,,,
APPLEGREEN PLC,IE00BXC8D038,APGN,Euronext Growth Dublin,EUR,5.58,5.6,5.52,5.52,26/11/19,UTC,101855,565530.22,
APRIL,FR0004037125,APR,Euronext Paris,EUR,22.4,22.4,21.8,22.1,26/11/19,CET,1532,34056.7,
AQUILA,FR0010340711,ALAQU,Euronext Growth Paris,EUR,6.95,6.95,6.95,6.95,25/11/19,CET,70,486.5,
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam,EUR,17.8,17.96,17.57,17.93,26/11/19,CET,173915,3098045.87,
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam,,,,,,,,,,
ARCHOS,FR0000182479,JXR,Euronext Paris,EUR,0.0923,0.0948,0.0923,0.0924,26/11/19,CET,331597,31074.95,
ARCURE,FR0013398997,ALCUR,Euronext Growth Paris,EUR,4.15,4.15,4.09,4.105,26/11/19,CET,802,3293.91,
ARDOIN ST AMAND A,FR0005057635,MLARD,Euronext Access Paris,EUR,101,101,101,101,14/11/19,CET,70,7070,
ARDOIN ST AMAND B,FR0004070795,ARDO,Euronext Access Paris,EUR,80,80,80,80,7/9/16,CET,4,320,
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,75.6,75.6,74,74,26/11/19,CET,1390,104120.6,
ARGENX SE,NL0010832176,ARGX,Euronext Brussels,EUR,132,134,131.3,133.7,26/11/19,CET,158409,21089709.1,
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,95.26,96.3,94.58,96.24,26/11/19,CET,499115,47949451.18,
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,11.9,11.9,11.9,11.9,26/11/19,CET,1,11.9,
ARTEFACT,FR0000079683,ALATF,Euronext Growth Paris,EUR,1.114,1.116,1.102,1.112,26/11/19,CET,21423,23729.52,
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,8.82,9.7,8.82,9.32,26/11/19,CET,35113,324853.43,
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,4620,4620,4620,4620,21/11/19,CET,1,4620,
ARYZTA AG,CH0043238366,YZA,Euronext Dublin,EUR,0.9945,0.995,0.94,0.94,26/11/19,UTC,100178,97401.22,
ASCENCIO,BE0003856730,ASC,Euronext Brussels,EUR,59,59,58,58.4,26/11/19,CET,1780,103680.4,
ASHLER ET MANSON,FR0012968485,MLAEM,Euronext Access Paris,EUR,1.71,1.71,1.71,1.71,22/11/19,CET,1,1.71,
ASIT,BE0974289218,ASIT,Euronext Brussels,,,,,,,,,,
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,EUR,99.2,100.7,99.14,100,26/11/19,CET,328692,32886811.09,
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,EUR,245.8,248.65,245.45,246.5,26/11/19,CET,863138,213020958.5,
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,EUR,33.2,33.34,33.02,33.31,26/11/19,CET,640306,21236924.36,
ASSICURAZ.GEN.ORD.,IT0000062072,GEN,Traded not listed Brussels,EUR,18.5,18.5,18.5,18.5,26/11/19,CET,50,925,
ASSIMA,GB00B19RTX44,ALSIM,Euronext Growth Paris,EUR,0.364,0.364,0.364,0.364,4/10/19,CET,20,7.28,
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,30.9,31.75,30.6,30.6,26/11/19,CET,144522,4429821.6,
ATARI,FR0010478248,ATA,Euronext Paris,EUR,0.298,0.319,0.298,0.315,26/11/19,CET,563401,172015.11,
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,10.64,11,10.64,10.96,26/11/19,CET,7124,77828.56,
ATENOR,BE0003837540,ATEB,Euronext Brussels,EUR,77.4,77.6,76.4,77,26/11/19,CET,1813,139792.8,
ATOS,FR0000051732,ATO,Euronext Paris,EUR,76.34,77.5,75.4,77.5,26/11/19,CET,891884,68743731.9,
ATRIUM EUR REALEST,JE00B3DCF752,ATRS,Euronext Amsterdam,EUR,3.58,3.58,3.53,3.53,26/11/19,CET,1090,3897.7,
AUBAY,FR0000063737,AUB,Euronext Paris,EUR,33,33.8,33,33.8,26/11/19,CET,9442,317679.85,
AUDIENCE LABS,FR0011896463,MLAUD,Euronext Access Paris,EUR,7.7,7.7,7.7,7.7,22/5/18,CET,13,100.1,
AUDIOVALLEY,BE0974334667,ALAVY,Euronext Growth Paris,,,,,,,,,,
AUGROS COSMETICS,FR0000061780,AUGR,Euronext Paris,EUR,6.5,6.5,6.5,6.5,25/11/19,CET,274,1781,
AUPLATA MINING GR,FR0013410370,ALAMG,Euronext Growth Paris,EUR,0.3162,0.329,0.31,0.328,26/11/19,CET,713556,226596.18,
AUREA,FR0000039232,AURE,Euronext Paris,EUR,5.68,5.8,5.68,5.8,26/11/19,CET,1219,7002.98,
AURES TECHNOLOGIES,FR0013183589,AURS,Euronext Paris,EUR,22,22.4,22,22.1,26/11/19,CET,378,8391.6,
AVANTIUM,NL0012047823,AVTX,Euronext Amsterdam,,,,,,,,,,
AVENIR TELECOM,FR0000066052,AVT,Euronext Paris,EUR,0.0123,0.0124,0.0116,0.0117,26/11/19,CET,10097075,120613.46,
AWOX,FR0011800218,AWOX,Euronext Paris,EUR,0.824,0.84,0.816,0.828,26/11/19,CET,20612,17131.55,
AXA,FR0000120628,CS,Euronext Paris,EUR,25.005,25.035,24.795,24.92,26/11/19,CET,6838287,170327192.3,
AXWAY SOFTWARE,FR0011040500,AXW,Euronext Paris,EUR,11.2,11.35,11,11.35,26/11/19,CET,811,9068.2,
AZ LEASING,IT0004812258,MLAZL,Euronext Access Paris,EUR,0.444,0.444,0.444,0.444,27/6/19,CET,2,0.89,
AZOREAN TECH,PTAZR0AM0006,MLAAT,Euronext Access Paris,EUR,0.07,0.075,0.07,0.075,21/11/19,CET,6576,465.7,
B&S Group,LU1789205884,BSGR,Euronext Amsterdam,EUR,9.7,9.7,9.34,9.39,26/11/19,CET,89911,852052.93,
B.COM.PORTUGUES,PTBCP0AM0015,BCP,Euronext Lisbon,EUR,0.2025,0.203,0.2,0.2009,27/11/19,BST,30581022,6147611.28,
BACCARAT,FR0000064123,BCRA,Euronext Paris,EUR,199,199,199,199,4/11/19,CET,20,3980,
BAIKOWSKI,FR0013384369,ALBKK,Euronext Growth Paris,EUR,13.302,13.302,13.3,13.302,26/11/19,CET,451,5998.44,
BAINS MER MONACO,MC0000031187,BAIN,Euronext Paris,EUR,54.8,55.6,54.2,54.2,26/11/19,CET,1604,87895.2,
BALTA GROUP,BE0974314461,BALTA,Euronext Brussels,EUR,2.615,2.645,2.615,2.615,26/11/19,CET,15581,40918.42,
BALYO,FR0013258399,BALYO,Euronext Paris,EUR,1.37,1.37,1.29,1.318,26/11/19,CET,102184,134636.14,
BAM GROEP KON,NL0000337319,BAMNB,Euronext Amsterdam,EUR,2.41,2.41,2.358,2.39,26/11/19,CET,2268352,5397981.43,
BANCO BILBAO VIZC.,ES0113211835,BBV,Traded not listed Brussels,EUR,4.7875,4.7875,4.7875,4.7875,14/11/19,CET,10,47.88,
BANCO SANTANDER,ES0113900J37,SANTA,Traded not listed Brussels,EUR,3.635,3.635,3.59,3.6165,26/11/19,CET,9100,32700,
BANIMMO A,BE0003870871,BANI,Euronext Brussels,EUR,3.43,3.45,3.4,3.4,26/11/19,CET,1100,3756.5,
BANK OF IR NC PREF,IE0000730790,DD7E,Euronext Dublin,EUR,23,23,23,23,25/10/19,UTC,87612,2015076,
BANK OF IR NCP STF,IE0000730808,DD7D,Euronext Dublin,EUR,-,-,-,18.7413,14/7/17,UTC,-,-,
BANK OF IRELAND GP,IE00BD1RP616,BIRG,Euronext Dublin,EUR,4.486,4.562,4.39,4.56,26/11/19,UTC,5516379,24971711.44,
BARBARA BUI,FR0000062788,BUI,Euronext Paris,EUR,7.05,7.05,7.05,7.05,26/11/19,CET,50,352.5,
BARCO,BE0003790079,BAR,Euronext Brussels,EUR,211,213,209.5,210,26/11/19,CET,26872,5653305.5,
BARINGS CORE SPAIN,ES0105362000,MLBAR,Euronext Access Paris,EUR,-,-,-,-,-,CET,-,-,
BASIC-FIT,NL0011872650,BFIT,Euronext Amsterdam,EUR,32.4,32.4,31.95,31.95,26/11/19,CET,58011,1855886.65,
BASILIX CERT,BE0003674851,BAS,Euronext Brussels,EUR,15.2,15.2,15.2,15.2,21/11/19,CET,30,456,
BASTIDE LE CONFORT,FR0000035370,BLC,Euronext Paris,EUR,37.35,38.15,37.35,37.75,26/11/19,CET,5955,224454.6,
BATLA MINERALS,FR0010436170,MLBAT,Euronext Access Paris,EUR,0.47,0.47,0.47,0.47,18/11/19,CET,10,4.7,
BD MULTI MEDIA,FR0000035305,ALBDM,Euronext Growth Paris,EUR,2.2,2.2,2.1,2.1,26/11/19,CET,1619,3511.8,
BE Semiconductor,NL0012866412,BESI,Euronext Amsterdam,EUR,34,34.3,33.84,33.92,26/11/19,CET,269433,9171345.18,
BEAULIEU-AV. CERT,BE0003661726,BEAB,Euronext Brussels,EUR,78,78,78,78,26/11/19,CET,145,11310,
BEFIMMO,BE0003678894,BEFB,Euronext Brussels,EUR,57.9,58.7,57.9,58.5,26/11/19,CET,45782,2674863.5,
BEKAERT,BE0974258874,BEKB,Euronext Brussels,EUR,24.6,24.6,24.22,24.5,26/11/19,CET,109083,2667001.76,
BEL,FR0000121857,FBEL,Euronext Paris,EUR,296,298,296,298,25/11/19,CET,183,54434,
BELIER,FR0000072399,BELI,Euronext Paris,EUR,29.15,29.45,29.1,29.45,26/11/19,CET,13800,403513.7,
BELRECA,BE0020575115,BELR,Euronext Brussels,EUR,116,116,116,116,20/11/19,CET,40,4640,
BELUGA,BE0003723377,BELU,Euronext Brussels,EUR,2.94,2.94,2.94,2.94,22/11/19,CET,80,235.2,
BENETEAU,FR0000035164,BEN,Euronext Paris,EUR,9.48,9.73,9.425,9.715,26/11/19,CET,188705,1817430.95,
BENFICA,PTSLB0AM0010,SLBEN,Euronext Lisbon,EUR,4.55,4.59,4.47,4.57,27/11/19,BST,25773,116719.11,
BERNARD LOISEAU,FR0000066961,ALDBL,Euronext Growth Paris,EUR,3.68,3.68,3.68,3.68,26/11/19,CET,1,3.68,
BETER BED,NL0000339703,BBED,Euronext Amsterdam,EUR,2.34,2.79,2.33,2.555,26/11/19,CET,1218929,3118959.8,
BEVER HOLDING,NL0000285278,BEVER,Euronext Amsterdam,EUR,3.84,3.84,3.84,3.84,22/11/19,CET,2000,7680,
BIC,FR0000120966,BB,Euronext Paris,EUR,62.95,63.5,61.95,62.75,26/11/19,CET,3210310,201427391.7,
BIGBEN INTERACTIVE,FR0000074072,BIG,Euronext Paris,EUR,14.24,14.96,14,14.96,26/11/19,CET,214131,3115290.34,
BILENDI,FR0004174233,ALBLD,Euronext Growth Paris,EUR,10.9,10.9,10.7,10.7,26/11/19,CET,1408,15301,
BIO-UV GROUP,FR0013345493,ALTUV,Euronext Growth Paris,EUR,3.43,3.47,3.42,3.47,26/11/19,CET,335,1151.48,
BIOCARTIS,BE0974281132,BCART,Euronext Brussels,EUR,6.59,6.59,6.1,6.14,26/11/19,CET,460388,2888768.4,
BIOCORP,FR0012788065,ALCOR,Euronext Growth Paris,EUR,15.1,15.1,14.8,14.8,26/11/19,CET,588,8854.2,
BIOM UP SA,FR0013284080,BUP,Euronext Paris,EUR,0.273,0.288,0.26,0.288,22/10/19,CET,86190,23921.51,
BIOMERIEUX,FR0013280286,BIM,Euronext Paris,EUR,81.6,82.95,81.5,82.6,26/11/19,CET,158069,13032292.8,
BIOPHYTIS,FR0012816825,ALBPS,Euronext Growth Paris,EUR,0.268,0.268,0.245,0.2545,26/11/19,CET,412256,104357.07,
BIOSYNEX,FR0011005933,ALBIO,Euronext Growth Paris,EUR,2.64,2.65,2.64,2.65,26/11/19,CET,899,2379.7,
BLEECKER,FR0000062150,BLEE,Euronext Paris,EUR,149,149,149,149,13/11/19,CET,4,596,
BLUE,FR0011592104,BLUE,Euronext Paris,EUR,16.85,16.95,16.85,16.95,26/11/19,CET,48,809.4,
BLUE SHARK POWER,FR0013340973,MLBSP,Euronext Access Paris,EUR,5.7,5.7,5.7,5.7,26/11/19,CET,14,79.8,
BLUELINEA,FR0011041011,ALBLU,Euronext Growth Paris,EUR,3.46,3.48,3.46,3.46,26/11/19,CET,2051,7126.46,
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris,EUR,51.47,51.59,50.93,51.03,26/11/19,CET,3650049,186561563.3,
BODY ONE,FR0010106039,MLONE,Euronext Access Paris,EUR,0.23,0.23,0.23,0.23,8/11/19,CET,326,74.98,
BOEING COMPANY,US0970231058,BOEI,Traded not listed Brussels,USD,346,346,346,346,31/10/19,CET,53,16440.73,
BOIRON,FR0000061129,BOI,Euronext Paris,EUR,33.45,33.5,33.1,33.5,26/11/19,CET,5233,175042.2,
BOLLORE,FR0000039299,BOL,Euronext Paris,EUR,3.884,3.914,3.868,3.898,26/11/19,CET,2032602,7918520.54,
BOLLORE NV20,FR0013447653,BOLNV,Euronext Paris,EUR,3.92,3.92,3.812,3.812,26/11/19,CET,1874,7177.48,
BONDUELLE,FR0000063935,BON,Euronext Paris,EUR,24,24,23.8,24,26/11/19,CET,29228,700865.75,
BONE THERAPEUTICS,BE0974280126,BOTHE,Euronext Brussels,,,,,,,,,,
BOOSTHEAT,FR0011814938,BOOST,Euronext Paris,EUR,13.2,13.2,13.2,13.2,26/11/19,CET,303,3999.6,
BOSKALIS WESTMIN,NL0000852580,BOKA,Euronext Amsterdam,EUR,21.46,21.48,21.15,21.29,26/11/19,CET,229357,4883040.62,
BOURBON CORP.,FR0004548873,GBB,Euronext Paris,EUR,3.73,3.84,3.675,3.675,8/10/19,CET,38843,145243.16,
BOURRELIER GROUP,FR0000054421,ALBOU,Euronext Growth Paris,EUR,45.2,46,45.2,46,26/11/19,CET,59,2713.2,
BOURSE DIRECT,FR0000074254,BSD,Euronext Paris,EUR,1.06,1.08,1.06,1.07,26/11/19,CET,16201,17496.06,
BOUSSARD GAVAUDAN,GG00B1FQG453,BGHL,Euronext Amsterdam,EUR,17.6,17.7,17.6,17.6,26/11/19,CET,1790,31534,
BOUSSARD GHL GBP,GG00B39VMM07,BGHS,Euronext Amsterdam,GBP,10,10,10,10,21/12/10,CET,188,1880,
BOUYGUES,FR0000120503,EN,Euronext Paris,EUR,37.34,37.55,37.09,37.55,26/11/19,CET,1719437,64473092.28,
BPOST,BE0974268972,BPOST,Euronext Brussels,EUR,10.86,10.92,10.785,10.845,26/11/19,CET,366017,3966918.57,
BQUE NAT. BELGIQUE,BE0003008019,BNB,Euronext Brussels,EUR,2400,2440,2390,2430,26/11/19,CET,46,110970,
BRASSERIE CAMEROUN,CM0000035113,BCAM,Euronext Paris,EUR,86,86,86,86,26/11/19,CET,13,1118,
BREDERODE,LU1068091351,BREB,Euronext Brussels,EUR,71.2,71.2,70.8,71,26/11/19,CET,7785,553013.4,
BRILL KON,NL0000442523,BRILL,Euronext Amsterdam,EUR,20.7,20.7,20.7,20.7,26/11/19,CET,1,20.7,
BRUNEL INTERNAT,NL0010776944,BRNL,Euronext Amsterdam,EUR,8.95,8.95,8.8,8.83,26/11/19,CET,71444,631705.1,
BUDGET TELECOM,FR0004172450,ALBUD,Euronext Growth Paris,EUR,3.6,3.64,3.495,3.64,26/11/19,CET,24687,87523.21,
BUDGET TELECOM BS,FR0013307329,BUDBS,Euronext Growth Paris,EUR,0.2,0.208,0.18,0.204,26/11/19,CET,13225,2665.04,
BUREAU VERITAS,FR0006174348,BVI,Euronext Paris,EUR,23.98,24.14,23.82,24.02,26/11/19,CET,1389382,33364674.91,
BURELLE,FR0000061137,BUR,Euronext Paris,EUR,790,790,784,784,26/11/19,CET,21,16482,
BUSINESS ET DECIS.,FR0000078958,BND,Euronext Paris,EUR,7.65,7.8,7.65,7.8,26/11/19,CET,2044,15783.75,
C.T.A.HOLDING,FR0000054066,MLCTA,Euronext Access Paris,EUR,19.5,19.5,19.5,19.5,10/6/19,CET,3,58.5,
CA TOULOUSE 31 CCI,FR0000045544,CAT31,Euronext Paris,EUR,136,136.48,133.52,136.48,26/11/19,CET,41,5499,
CAFOM,FR0010151589,CAFO,Euronext Paris,EUR,5.2,5.3,5.2,5.2,26/11/19,CET,13974,72801.7,
CAIRE,FR0010781377,MLAAE,Euronext Access Paris,EUR,10.4,10.4,10.4,10.4,22/11/19,CET,3,31.2,
CAIRN HOMES PLC,IE00BWY4ZF18,C5H,Euronext Dublin,EUR,1.202,1.212,1.19,1.19,26/11/19,UTC,1959792,2343174.88,
CAMBODGE NOM.,FR0000079659,CBDG,Euronext Paris,EUR,6550,6550,6550,6550,18/11/19,CET,5,32750,
CAMPINE,BE0003825420,CAMB,Euronext Brussels,EUR,29.2,29.2,29.2,29.2,25/11/19,CET,175,5110,
CANDELA INVEST,BE0974298300,CAND,Euronext Growth Brussels,EUR,3.64,3.64,3.64,3.64,15/11/19,CET,655,2384.2,
CAPELLI,FR0012969095,CAPLI,Euronext Paris,EUR,29.3,29.3,28,28.3,26/11/19,CET,7676,218678.9,
CAPGEMINI,FR0000125338,CAP,Euronext Paris,EUR,109.15,111.2,108.75,110,26/11/19,CET,673231,74190412.4,
CARBIOS,FR0011648716,ALCRB,Euronext Growth Paris,EUR,8.12,8.18,7.76,7.86,26/11/19,CET,31561,253253.38,
CARE PROPERTY INV.,BE0974273055,CPINV,Euronext Brussels,EUR,29.1,30,29.1,29.6,26/11/19,CET,16428,488557.3,
CARMAT,FR0010907956,ALCAR,Euronext Growth Paris,EUR,18.98,19.14,18.9,19.14,26/11/19,CET,4934,93976.38,
CARMILA,FR0010828137,CARM,Euronext Paris,EUR,19.48,19.7,19.32,19.4,26/11/19,CET,1257499,24411849.72,
CARPINIENNE PART.,FR0000064156,CARP,Euronext Paris,EUR,55,55,55,55,30/10/19,CET,21,1155,
CARREFOUR,FR0000120172,CA,Euronext Paris,EUR,15.55,15.625,15.29,15.29,26/11/19,CET,3568321,54677579.17,
CASINO GUICHARD,FR0000125585,CO,Euronext Paris,EUR,42.1,42.89,41.82,42.8,26/11/19,CET,650608,27778126.32,
CAST,FR0000072894,CAS,Euronext Paris,EUR,3.12,3.12,3.05,3.12,26/11/19,CET,1521,4715.52,
CATANA GROUP,FR0010193052,CATG,Euronext Paris,EUR,2.94,3.01,2.875,2.935,26/11/19,CET,307132,905215.9,
CATERING INTL SCES,FR0000064446,CTRG,Euronext Paris,EUR,11.25,11.35,11.25,11.35,26/11/19,CET,8538,96158.8,
CATERPILLAR INC,US1491231015,CATR,Euronext Paris,EUR,133.5,133.5,133.5,133.5,26/11/19,CET,27,3604.5,
CBO TERRITORIA,FR0010193979,CBOT,Euronext Paris,EUR,3.81,3.82,3.78,3.8,26/11/19,CET,19442,73791.36,
CECURITY.COM,FR0010717579,MLCEC,Euronext Access Paris,EUR,0.54,0.54,0.54,0.54,6/11/19,CET,950,513,
CEGEDIM,FR0000053506,CGM,Euronext Paris,EUR,28.65,29.35,28.55,28.95,26/11/19,CET,17422,501389.05,
CEGEREAL,FR0010309096,CGR,Euronext Paris,EUR,45,45,45,45,26/11/19,CET,1,45,
CELLECTIS,FR0010425595,ALCLS,Euronext Growth Paris,EUR,12.67,12.76,12.35,12.58,26/11/19,CET,47202,592057.75,
CELLNOVO,FR0012633360,CLNV,Euronext Paris,EUR,0.138,0.1644,0.1232,0.128,8/5/19,CET,4559697,642409.13,
CELYAD,BE0974260896,CYAD,Euronext Brussels,,,,,,,,,,
CENERGY,BE0974303357,CENER,Euronext Brussels,EUR,1.212,1.22,1.21,1.21,20/11/19,CET,3901,4738.21,
CERINNOV GROUP,FR0013178712,ALPCV,Euronext Growth Paris,EUR,1.77,1.77,1.7,1.7,26/11/19,CET,1862,3253.04,
CESAR,FR0013297165,ALCES,Euronext Growth Paris,EUR,0.126,0.126,0.126,0.126,26/11/19,CET,709,89.33,
CFE,BE0003883031,CFEB,Euronext Brussels,EUR,82.4,82.4,81,82.4,26/11/19,CET,25987,2124879.8,
CFI,FR0000037475,CFI,Euronext Paris,EUR,0.815,0.815,0.815,0.815,22/11/19,CET,1,0.82,
CFM INDOSUEZWEALTH,MC0010000826,MLCFM,Euronext Access Paris,EUR,785,785,785,785,20/11/19,CET,3,2355,
CGG,FR0013181864,CGG,Euronext Paris,EUR,2.379,2.44,2.377,2.4,26/11/19,CET,7155433,17241741.15,
CGG BSA 1,FR0013309614,CGGBS,Euronext Paris,EUR,0.231,0.259,0.231,0.259,26/11/19,CET,20679,5184.14,
CGG BSA 2,FR0013309622,CGGBT,Euronext Paris,EUR,0.109,0.113,0.109,0.113,26/11/19,CET,104087,11558.69,
CH.FER DEPARTEMENT,FR0000037871,MLCFD,Euronext Access Paris,EUR,715,715,715,715,29/10/19,CET,4,2860,
CH.FER VAR GARD N.,FR0000051567,MLCVG,Euronext Access Paris,EUR,3900,3980,3900,3980,13/11/19,CET,13,51100,
CHARGEURS,FR0000130692,CRI,Euronext Paris,EUR,15.78,16.18,15.64,15.98,26/11/19,CET,43781,697121.52,
CHAUSSERIA,FR0000060907,CHSR,Euronext Paris,EUR,4.1,4.1,4.1,4.1,18/11/19,CET,148,606.8,
CHEOPS TECHNOLOGY,FR0010447086,MLCHE,Euronext Access Paris,EUR,34,34,34,34,26/11/19,CET,10,340,
CHEVRON,US1667641005,CHTEX,Traded not listed Brussels,USD,118.04,118.04,118.04,118.04,28/8/19,CET,24,2556.13,
CHRISTIAN DIOR,FR0000130403,CDI,Euronext Paris,EUR,474.8,479.6,473.2,477.2,26/11/19,CET,30298,14437183,
CIBOX INTER A CTIV,FR0000054322,CIB,Euronext Paris,EUR,0.1226,0.1228,0.1226,0.1228,26/11/19,CET,138882,17045.78,
CIE BOIS SAUVAGE,BE0003592038,COMB,Euronext Brussels,EUR,371,372,369,372,26/11/19,CET,621,230312,
CIE DU MONT BLANC,FR0000060428,MLCMB,Euronext Access Paris,EUR,144,144,144,144,26/11/19,CET,3,432,
CIOA,FR0012384907,MLCIO,Euronext Access Paris,EUR,1.27,1.27,1.27,1.27,22/11/19,CET,1206,1531.62,
CISCO SYSTEM INC,US17275R1023,CIS,Traded not listed Brussels,USD,45.435,45.435,45.435,45.435,19/11/19,CET,25,1025.44,
CLARANOVA,FR0013426004,CLA,Euronext Paris,EUR,7.7,7.91,7.599,7.823,26/11/19,CET,171876,1330358.65,
CLASQUIN,FR0004152882,ALCLA,Euronext Growth Paris,EUR,35,35,34.9,35,26/11/19,CET,225,7852.7,
CNIM GROUP,FR0000053399,COM,Euronext Paris,EUR,39,39,38,38.4,26/11/19,CET,117,4471.2,
CNOVA,NL0010949392,CNV,Euronext Paris,EUR,2.5,2.52,2.4,2.5,26/11/19,CET,1238,3095.86,
CNP ASSURANCES,FR0000120222,CNP,Euronext Paris,EUR,18.19,18.19,18.05,18.1,26/11/19,CET,948497,17169760.38,
CO.BR.HA,BE0003519270,COBH,Euronext Growth Brussels,EUR,3900,3900,3900,3900,26/11/19,CET,2,7800,
COCA-COLA EUROPEAN,GB00BDCPN049,CCEP,Euronext Amsterdam,EUR,45.85,46,45.45,45.7,26/11/19,CET,37799,1729199.05,
COFACE,FR0010667147,COFA,Euronext Paris,EUR,10.13,10.2,9.965,9.995,26/11/19,CET,195914,1962638.08,
COFIDUR,FR0013257409,ALCOF,Euronext Growth Paris,EUR,308,310,308,310,26/11/19,CET,55,17032,
COFINIMMO,BE0003593044,COFB,Euronext Brussels,EUR,132.6,134.2,132,134,26/11/19,CET,91213,12211207.8,
COGELEC,FR0013335742,COGEC,Euronext Paris,EUR,6.44,6.44,6.4,6.4,26/11/19,CET,392,2513.84,
COGRA,FR0011071570,ALCOG,Euronext Growth Paris,EUR,5.38,5.56,5.38,5.54,26/11/19,CET,7561,41356.06,
COHERIS,FR0004031763,COH,Euronext Paris,EUR,2.1,2.15,2.1,2.15,26/11/19,CET,275,580,
COIL,BE0160342011,ALCOI,Euronext Growth Paris,EUR,12.4,12.4,12,12.1,26/11/19,CET,2571,31206.05,
COLAS,FR0000121634,RE,Euronext Paris,EUR,146,146,144.4,144.8,26/11/19,CET,839,121504.6,
COLIPAYS,FR0010959684,MLCLP,Euronext Access Paris,EUR,3.14,3.14,3.14,3.14,26/11/19,CET,10,31.4,
COLRUYT,BE0974256852,COLR,Euronext Brussels,EUR,47.58,47.9,47.3,47.73,26/11/19,CET,458623,21881038.36,
CONDOR TECHNOLOG,BE6252013725,MLMFI,Euronext Access Paris,EUR,15,15,15,15,7/6/19,CET,20,300,
CONDURIL,PTCDU0AE0003,CDU,Euronext Access Lisbon,EUR,32,32,32,32,16/11/19,BST,14,448,
